id,measured,producerCount,importBytes,uncompressed,shrinkled,binBytes
twophase_op12,"[{\"op\":12,\"mode\":\"ccc\"},{\"op\":12,\"mode\":\"ccc\"}]",2,0,14024,4744,804
twophase_op15,"[{\"op\":15,\"mode\":\"cc\"},{\"op\":15,\"mode\":\"cc\"}]",2,0,14264,4812,1040
imports_256,"[{\"op\":2,\"mode\":\"cc\"}]",0,256,13908,4572,368
imports_4096,"[{\"op\":2,\"mode\":\"cc\"}]",0,4096,17748,4580,368
imports_32768,"[{\"op\":2,\"mode\":\"cc\"}]",0,32768,46424,4576,368
samplelen_4,"[{\"op\":2,\"mode\":\"cc\"}]",0,0,13616,4548,404
samplelen_4096,"[{\"op\":2,\"mode\":\"cc\"}]",0,0,13596,4544,344
samplelen_131070,"[{\"op\":2,\"mode\":\"cc\"}]",0,0,13596,4544,344
real:JosSs - Cream,"[{\"op\":2,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":12,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":7,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":7,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":18,\"mode\":\"?\"},{\"op\":7,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":12,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"}]",0,0,0,0,9304
real:JosSs - DualPanoply,"[{\"op\":4,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":7,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":12,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":12,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":12,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":21,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":11,\"mode\":\"?\"},{\"op\":7,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":12,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":3,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":3,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":11,\"mode\":\"?\"},{\"op\":7,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":11,\"mode\":\"?\"},{\"op\":7,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":2,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":12,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":6,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":8,\"mode\":\"?\"},{\"op\":10,\"mode\":\"?\"},{\"op\":4,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":11,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":11,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":1,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":11,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":22,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":21,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":17,\"mode\":\"?\"},{\"op\":15,\"mode\":\"?\"},{\"op\":9,\"mode\":\"?\"},{\"op\":13,\"mode\":\"?\"}]",0,0,0,0,19484
